Time Stamp;Step;Status;Prog Time;Step Time;Cycle;Cycle Level;Procedure;Voltage;Current;AhCha;AhDch;AhStep;AhAccu;WhAccu;WhCha;WhDch;WhStep;;Peukert 1,75V;
[dd/MM/yyyy HH:mm:ss];[];[];[hh:mm:ss];[hh:mm:ss];[];[];[];[V];[A];[AhCha];[AhDch];[AhStep];[Ah];[Wh];[WhCha];[WhDch];[WhStep];;Duração;Corrente
28/11/2022 16:00;1;...;00:00:00;00:00:00;0;0;Peukert_sem_equal;0;0;;;;;;;;;;0,231;9,5
28/11/2022 16:00;2;PAU;00:00:00;00:00:00;0;0;Peukert_sem_equal;2,099;0;;;;;;;;;;0,676;4,75
28/11/2022 16:00;2;PAU;00:00:00;00:00:00;0;0;Peukert_sem_equal;2,099;0;0;0;0;0;0;0;0;0;;4,585;0,95
28/11/2022 16:00;2;PAU;00:00:02;00:00:02;0;0;Peukert_sem_equal;2,099;0;0;0;0;0;0;0;0;0;;6,167;0,712
28/11/2022 16:00;2;PAU;00:00:02;00:00:02;0;0;Peukert_sem_equal;2,099;0;;;;;;;;;;9,332;0,475
28/11/2022 16:00;3;INT;00:00:02;00:00:00;0;0;Peukert_sem_equal;2,099;0;;;;;;;;;;19,252;0,238
28/11/2022 16:00;3;INT;00:00:02;00:00:00;0;0;Peukert_sem_equal;2,099;0;0;0;0;0;0;0;0;0;;;
28/11/2022 16:01;3;MSG;00:00:26;00:00:24;0;0;Peukert_sem_equal;Continue via BTS-host computer!;;;;;;;;;;;;
28/11/2022 16:01;3;INT;00:00:27;00:00:24;0;0;Peukert_sem_equal;2,098;0;0;0;0;0;0;0;0;0;;;
28/11/2022 16:01;3;INT;00:00:27;00:00:24;0;0;Peukert_sem_equal;2,098;0;;;;;;;;;;;
28/11/2022 16:01;5;DCH;00:00:27;00:00:00;0;0;Peukert_sem_equal;1,945;0;;;;;;;;;;;
28/11/2022 16:01;5;DCH;00:00:27;00:00:00;0;0;Peukert_sem_equal;1,924;-9,497;0;0;0;0;0;0;0;0;;;
